origin_city,destination_city,origin_station,destination_station,price
Northampton,Liverpool,Northampton Town Centre,Liverpool (One Bus Station),12.49
Birmingham,Leeds,Birmingham - Great Charles Street Queensway,Leeds City Bus Station,6.561428571428572
Bath,London,Bath Bus Station,London Heathrow Airport (Central Bus Station T2 and T3),6.489999999999999
Chester,Northampton,Chester Bus Interchange (Stand N),Northampton Town Centre,10.99
Swindon,London,Regent Circus Swindon (Stop C),London Heathrow Airport (Central Bus Station T2 and T3),8.24
Exeter,Plymouth,Cullompton Bus Stop (Station RD),Plymouth Coach Station,3.99
Weston-super-Mare,Bristol,Weston super Mare Alexandra Parade,Bristol Bus Station (UK),4.99
Manchester,Leeds,Manchester (Shudehill Interchange),Leeds City Bus Station,3.990000000000001
Swindon,Cheltenham,Regent Circus Swindon (Stop C),Cheltenham Royal Well Bus Station,3.49
Sunderland,Sheffield,Sunderland Interchange,Sheffield (Meadowhall Interchange),12.99
Birmingham,Bradford,Birmingham - Great Charles Street Queensway,Bradford Interchange,6.74
Middlesbrough,Sunderland,Middlesbrough (Bus Station),Sunderland Interchange,4.49
Leeds,Darlington,Leeds City Bus Station,Darlington (Town Hall),5.49
Sunderland,Manchester,Sunderland Interchange,Manchester (Shudehill Interchange),7.156666666666666
Coventry,Liverpool,Coventry (Pool Meadow),Liverpool (One Bus Station),6.49
Sheffield,Cardiff,Sheffield (Meadowhall Interchange),Cardiff North Road (Friary Gardens),12.99
London,Gloucester,London Heathrow Airport (Central Bus Station T2 and T3),Gloucester (Transport Hub),10.99
Birmingham,Sheffield,Birmingham - Great Charles Street Queensway,Sheffield (Meadowhall Interchange),5.7042857142857155
Birmingham,Manchester,Birmingham - Great Charles Street Queensway,Manchester (Moss Lane East),6.49
Plymouth,London,Plymouth Coach Station,London Heathrow Airport (Central Bus Station T2 and T3),22.99
Leeds,Derby,Leeds City Bus Station,Derby,4.99
Dundee,Edinburgh,Dundee (Overgate Centre - West Marketgait),Edinburgh Bus Station,6.540000000000001
Stoke-on-Trent,Birmingham,Stoke-on-Trent (Hanley Bus Station),Birmingham - Great Charles Street Queensway,5.090000000000001
Manchester,Sheffield,Manchester (Shudehill Interchange),Sheffield (Meadowhall Interchange),3.99
Manchester,Leicester,Manchester (Shudehill Interchange),Leicester St Margarets bus station,6.49
Dundee,Aberdeen,Dundee (Overgate Centre - West Marketgait),Aberdeen Bus Station,5.72076923076923
Luton,London,Luton DART Parkway (For Airport),London Heathrow Airport (Central Bus Station T2 and T3),4.99
Bristol,London,Bristol Bus Station (UK),London Heathrow Airport (Terminal 5),11.204285714285714
Newport,Swansea,Newport,Swansea University,4.423333333333335
London,Derby,London Heathrow Airport (Central Bus Station T2 and T3),Derby,26.99
Glasgow,London,Glasgow,London Heathrow Airport (Central Bus Station T2 and T3),39.99
London,Bath,London Heathrow Airport (Central Bus Station T2 and T3),Bath Bus Station,6.49
Glasgow,Edinburgh,Glasgow,Edinburgh Haymarket Station North (Stop HB),4.490000000000001
Swansea,Bristol,Swansea,Bristol Bus Station (UK),6.035454545454545
Swindon,Newport,Regent Circus Swindon (Stop C),Newport,7.99
Glasgow,Aberdeen,Glasgow,Aberdeen Bus Station,7.146249999999998
Warrington,Liverpool,Warrington Interchange,Liverpool (One Bus Station),3.99
Leeds,Nottingham,Leeds City Bus Station,Nottingham (Phoenix Park P+R),4.49
London,Bristol,London Heathrow Airport (Central Bus Station T2 and T3),Bristol Bus Station (UK),11.790000000000001
Gloucester,Bristol,Gloucester (Transport Hub),Bristol Bus Station (UK),3.99
Cambridge,Brighton,Cambridge Parkside - Stop 18,Brighton (Preston Park),8.24
Brighton,Cambridge,Brighton Old Steine S4 (Stop Z),Cambridge (Trumpington Park and Ride),8.073333333333334
Coventry,Chester,Coventry (Pool Meadow),Chester Bus Interchange (Stand N),7.99
Oxford,Birmingham,Oxford Bus Station,Birmingham - Great Charles Street Queensway,4.99
Derby,Leeds,Derby,Leeds City Bus Station,5.489999999999999
Sunderland,Middlesbrough,Sunderland Interchange,Middlesbrough (Bus Station),3.99
Middlesbrough,Edinburgh,Middlesbrough (Bus Station),Edinburgh Bus Station,9.74
Bristol,Newport,Bristol Bus Station (UK),Newport,4.421818181818181
Cardiff,London,Cardiff North Road (Friary Gardens),London Heathrow Airport (Central Bus Station T2 and T3),13.454285714285717
Newport,Birmingham,Newport,Birmingham - Great Charles Street Queensway,6.24
Derby,Bradford,Derby,Bradford Interchange,5.989999999999999
Manchester,Luton,Manchester (Shudehill Interchange),Luton Halfway Avenue,11.99
London,Sunderland,London Heathrow Airport (Central Bus Station T2 and T3),Sunderland Interchange,24.49
Stoke-on-Trent,Manchester,Stoke-on-Trent (Hanley Bus Station),Manchester (Moss Lane East),5.99
Leeds,Glasgow,Leeds City Bus Station,Glasgow,18.99
Derby,Sheffield,Derby,Sheffield Interchange,4.49
Aberdeen,Dundee,Aberdeen Bus Station,Dundee (Overgate Centre - West Marketgait),5.72076923076923
Derby,Leicester,Derby,Leicester St Margarets bus station,4.240000000000001
Manchester,Middlesbrough,Manchester (Shudehill Interchange),Middlesbrough (Bus Station),6.489999999999999
Coventry,London,Coventry (Pool Meadow),London Heathrow Airport (Central Bus Station T2 and T3),7.490000000000001
Plymouth,Exeter,Plymouth Coach Station,Cullompton Bus Stop (Station RD),3.99
